控制好人境人员，确保民众安康！
"[题主采纳]目前許多國家因疫情嚴重並須做好防疫工作致大多已停止外國人入境政策,為自身與他國安全建議先勿安排出國吧!==========如果你觉得TA的回答不错，快来给TA点个赞吧！你的支持是对作者莫大的鼓励~"
疫情没有结束的一天也不要想着国外旅行了。==========如果你觉得TA的回答不错，快来给TA点个赞吧！你的支持是对作者莫大的鼓励~
今年就在国内玩玩算了，出境就别想了==========如果你觉得TA的回答不错，快来给TA点个赞吧！你的支持是对作者莫大的鼓励~
