"The ""Chicago Tribune"" reports that the Shedd Aquarium will close this afternoon through (not until) March 29th due to COVID-19Edited: 12:20 pm, March 13, 2020 "
It makes sense since The Shedd draws such large crowds. It’s closing points out the seriousness of this pandemic.
Makes perfect sense! It's unfortunate though for visitors.
"The penguins are given run of the place!https:/…https:/…Who says that the Shedd management doesn't have a sense of wellbeing for their charges?Edited: 12:15 pm, March 17, 2020 "
