I thought it had closed for good at the end of last season ..
That's what Amanda posted. It was due to the distribution people not supporting small cinemas etc. There obviously is something going on behind the scenes.
"'No name' was upgraded in the winter, the tables have remained the same though ..."
"-:- Message from Tripadvisor staff -:-This post has been removed at the author's request. The author may repost if desired.Posts on the Tripadvisor forums may be edited for a short period of time. Once the edit period has expired, authors may update their posts by removing and reposting them.To read more about editing your posts, please follow this link: http://www.tripadvisor.com/help/how_to_edit_your_postsRemoved on: 4:21 pm, August 05, 2020"
"David P.In your estimation, under which of those headings could a grant be claimed?"
"David P.I can't find ""The GROW Greece COVID-19 Small Business Assistance Grant"" in the document in your link. Can you be more specific?"
