"Saw this, not my words!Just if anyone has flights etc booked/being cancelled/updated::https:/…"
"It's a chink of light in these gloomy days thanks for sharing Caz. I have read that WizAir plan on resuming flights soon, and Turkish Airlines are resuming domestic flights from mid May."
"That TUI Information is out of date it's now All package Holidays up to 11th June that have been cancelled ✈️Edited: 6:29 am, April 29, 2020 "
"I can't see anyone flying anywhere soon. Until they get a vaccine, sort out lockdown, open borders to tourists etc.Think the airlines should stop selling flights until they have definite dates to fly again. Taking peoples money, falsely giving people hope! Everyday something in the press about airlines and holidays"
"Love Holidays are getting better. I have just received notification that they are giving me a credit note for a holiday cancelled in May, and if the voucher is not used by the end of July I can apply for a refund which seems fair. It is all a bit uncertain at the moment regarding flights. Yesterday I read that President Sisi has declared a 'state of emergency' for three months, whatever that means."
Egypt is perpetually in a State of Emergency - This is just the latest extension.See https:/…
"My thoughts entirely, BBeckett.A cynical ploy to dodge their legal obligations and one I would be far from happy with.They know full well there is not a hope in hell of the credit note being redeemed by July (and in reality much later) so they have in effect extracted an interest free loan."
@ Caz on #3. They are already starting. Wizz Air are operating from this Friday! And from what i am hearing the flight is pretty full. Although i am guessing they are blocking out a lot of seats.
"Lol you think anyone is going to be flying in a pandemic, borders shut to tourists, sat together in a plane, killing more people, not thinking of NHS.....crazy wizzair.Only see repatriation, cargo flights running still anywhere.Who would get on a plane in lockdown/pandemic?"
I suggest you read this link.https:/…It isn’t quite so simple as ‘Wizz resuming flights” There will be a restricted list of destinations and refunds are not guaranteed.
"The Wizz flights are not repatriation flights or cargo though, the are genuine flights. People will fly because there are unfortunately people who don't give a toss about lockdown. As someone who has to go to work every day still, it's pretty obvious that there are a lot more cars on the road this week, people are getting restless.Granted, you would be going against government advice to travel and personally i can't think of anything worse than getting on a plane at the moment or going abroad but the fact remains, some people will."
"I agree with you Caz no one will be going on a holiday anytime soon. If you look at the latest figures for deaths in the UK from Covid 19 it is in excess of 26,000. The Government never factors in the deaths in care homes or at home when releasing the figures.Also has WizzAir considered if the countries they are flying to want to take tourists from the country in Europe with the second highest figure of Covid 19 fatalities? I love Turkey and I am sure they are keen to have tourists back, but how willing are they to accept tourists from a country with a high fatality rate from the virus?. AllConfirmed165K-Deaths26,097Edited: 10:18 am, April 30, 2020 "
https://www.bbc.com/news/business-52441652
"True OrgandopAs the BBC say, it will be a lot of planning to get airports/airlines/flights up and running again.https://www.bbc.co.uk/news/business-52441652"
The £25 ‘incentive’ to forgo a cash refund in favour of a credit voucher would suggest that the company’s financial position Is very precarious.
"Hi Organdop, i got that email today too.I follow easyjet on Facebook and Twitter. They're giving £extra pp if you take a voucher.Looking now to change my flight to Turkey in June. No fee and no additional price to pay :)I had email from travel republic re hotel and i can rebook or cancel for refund.Martin Lewis, moneysavingexpert, is doing an online survey re holiday and airline companies. I've completed it. He will take results to CAA, govt, reg bodies etc. https:/…Travel-booking-experiences-MSE"
"Martin Lewis is great. He makes an impact. Companies take action when he exposes them, already more companies are offering refunds."
"Hi Caz, maybe I missed it in the easyJet email!?I know there are no changing fees but I thought you had to pay any fare difference!?Kind regards"
