因为疫情无法入境了，难道签证就要这样浪费了吗，求大伙支支招，谢过各位！
"              Under Australian migration law, it is not possible to extend a visitor visa or ETA. .參見 https://covid19.homeaffairs.gov.au/staying-australia#4"
              不然能怎么样呢，因为疫情，更多的人比你损失更多，你的是小巫见大巫了，你真觉得浪费了要去，无人会阻你。
              政策就这样，只能接受。并且中国文旅部也发文建议不要去了。
              没办法，只能这样，以后要去，再重新申请。
              ​遇上这种情况，只能接受现实。
              还能怎样，想去也只能重新申请啊
              啊，那也没有办法，总比浪费了机票的强啊。
              过期作废，下次有需求重新申请。
              没招可支，只有过期                                        
              只能浪费掉了，没有其它办法
