有土耳其签证转机韩国需要过境签吗？
"              韓國入境規定：https://flyasiana.com/C/TW/ZH/customer/notice/detail?id=CM202002030001195030停止免簽協議/免簽入境 搭乘前往韓國的飛機前，所有的旅客都需要測量體溫, 超過37.5度者無法搭乘在仁川機場僅允許24小時以內轉機​"
              买联程机票可以在韩国转机。先确认你有土耳其签证，能否在目前疫情下在土耳其入境。当然，最大的问题是，你去了，是否还需要回来，怎么回来……
              联程票就ok最好查询一下民航局公布的航班里有没有你所购买的韩-中航段
              无论是否在疫情期间，联程航班可以转机，非联程不可以。
              你只有买到联程票才可以在韩国转机非联程入不了境
              现在韩国转机必须是联程机票                                        
              联程机票可以转机                                        
              目前不能转机韩国
              聯程可以
