土耳其航空公司机票退票要多久
              今年各大航司，代理，旅行社退票都很难说的，快则1天，慢则疫情爆发到现在5个月了还没退的都有，甚至预测可能要1年或者永远不退都有可能，尤其是客户--代理--航司，这种加一层关系的，最麻烦
              在哪儿买的，官网还是代理看航司规定，官网买的继续找客服或者发邮件，代理买的找代理
              只能上官网查查看是否有规定时限了。有的航空公司规定是90天噢。现在很多航空公司只换票或退券不退现金呢
              这里不能代表土航，疫情期间时效也不同，建议与对方多联系多沟通。
              疫情期间，航司现金流紧张，没有定数，只能耐心等待，或催促客服
              非常時期非常做法。等吧。
              各大航司目前都没钱，退要多久看人家心情。
              疫情期间，各大航司的资金流都有问题，只能等并催！
              等吧，土航倒闭可能性不大
              这个只能问土航，这里很难答复你的
              遥遥无期，不能按正常情况算                                        
              只能等
              只能咨询航司
