天津大悲院疫情期间什么时候开门
              没有神能够预测，如果你的神能够预测，早就告知你了，对吧？
              昨天20年6月23日去还没开放，问门口人说一直没开，什么时候开不知道                                        
              疫情期间，防止人员聚集，宗教场所是关闭的。
              宗教场所暂不开门 其它公园景点很多都开了                                        
              这个要看疫情的变化情况，谁也说不准。
              现在还没开门，啥时候开门要看政府的规定
              要看疫情的发展才能决定。
              目前还没有通知开放时间
              目前不开放，开放日期未定                                        
              疫情结束以后吧                                        
              疫情结束再说
              只能等待消息
              不开放！
