广济寺疫情期间对外开放吗
              总体说来，寺庙都没有开放可以百度你要的地方的广济寺联系电话咨询
              还没有，反正国内的广济寺都没有开放因为现在疫情期间宗教场所都不开放的
              国内好多个广济寺，你问哪个？上大众点评上找电话，打电话 咨询
              寺庙作为人员密集型景点，在疫情期间上不会向普通公众开放的。
              不开放既然那么诚心求佛，晚上让佛托梦给你告知情况就好。
              ​目前寺庙不开放。
              寺庙目前不开放，耐心等待官方通告
              不开放，我周二刚路过。                                        
              心香一瓣
              还未开放
