疫情期间护照掉了  现在是补办的旅行证 但是给航司打电话更改证件信息 航司说更改不了 说必须什么证件买票什么证件登机  现在不知道旅行证是否可以正常值机登机护照号码买的机票 望大神指点一下迷津 谢谢 
              要向中國使領館申請領取旅行證就要有警察局開具的原護照遺失證明。旅行證記錄有你原來護照的號碼。旅行證用於回國效力等同於護照。                                        
              旅行证有你原护照号码的，正常旅行证可以登机回国。带好警察局证明、原护照复印件备用
              旅行证上就有你购票的护照信息携带警局护照遗失的报案笔录和旅行证就可以顺利办理值机手续，放心。
              旅行证上有原证件号码，登机没问题。带上警察局报案回执。                                        
              在菲律宾种菠菜说自己护照“不小心掉了”的人太多了。。。旅行证上有你的护照号
              没事的，去那里种菜的都是这样旅行证回来的                                        
              旅行证可以作为护照使用，只是功能受限。带上遗失证明文件。
              补发的旅行证上有原护照号码可以登机回国。
              我想知道疫情期间是介为什么要搞掉你的护照？？？
              旅行证上有护照信息的，可以登机。
              可以的，不用担心。                                        
              旅行证就可以
