菲律宾到柬埔寨中转回国可以吗？
"              非聯程機票不行，無法取得簽證：On March 28, the Government of Cambodia suspended the e-visa and visa-on-arrival programs until further notice. https://kh.usembassy.gov/covid-19-information/                                        "
              不行。這些問題在這裡很多人提問過了。
柬埔寨国内一大把哭着闹着想到其他国家转机回国的华人，你是怎么能够想到从柬埔寨中转能够回国的？
              可以，买联程的机票，澜湄航空有。
              目前也不行
              目前不行
              持非联程机票无法在柬埔寨转机。​
              ​直飞机票最可靠。
              目前没有办法。
              买直航机票吧
              联程的才可以                                        
              此路不通                                        
              估计不可以了！！                                        
