现在去埃及北京和广州有航班吗？到埃及隔离吗？
              北京有，广州木有，到达后要隔离
埃及目前仍然暫所有國際航班，見ICAO官網：https://www.icao.int/safety/Pages/COVID-19-Airport-Status.aspx
              去航司官网查，有就有没有就没有，理论上埃及暂停所有国际航班了
埃及有航班，可以先在平台查询再去官网买票，退改还是官网靠谱
              疫情期间，不要作死，埃及封国了，不会让你上飞机的                                        
              有航班，到了开罗之后需要自我隔离，不是强制性隔离。
              有航班，要隔离，如果是旅游的话就算了，不要去了
              ​先上机票比价网站查机票。
              上订票网站如携程上查吧                                        
              有航班，需要隔离。
