身份证
              身份证号码是不变的，你可以直接填号码呀，除非要求上传身份证？难道护照号不行
              自己哦身份證號碼也記不得？身份證號碼是終身唯一的。                                        
              可以补办，另外现在有电子身份证
              国际健康码不是用护照填的吗？                                        
              你就马上去补办一张居民身份证。
              要填报有。可以用护照填报的
              你这个是你有身份证但是找不到了所以还是有
              可以用护照的
              填护照
