西柏坡景区疫情期间开放吗
              西柏坡这个地方不急着开啊，因为都不是盈利性景点
              这不是有官网可以查电话的吗？直接电话就是啦！
              到景区服务中心问
              免费开放中。
              还没开呢。                                        
