谢谢再次感谢！
              影响大了，吐鲁番是新疆最牛的地方，需要你在新疆其他地区待满30天才让你进。                                        
              新疆有特殊要求，詳細的，旅行雷達微信公眾號有說明。                                        
              吐鲁番的景区不让疆外人进入这就是影响
              要看你从哪里去，那里最严了
              ​哈尔滨去的可能被劝返。
              新疆现在比较严格。
              新疆各地都有限制                                        
              怎么样 你有没有进入？                                        
