现金买了票，因为疫情的原因去不了火车站退票，网上可以退吗？
              现金买的火车票，网上不好操作，但现在是非常时期，要求大家不要出门，应该有对应的政策，你官网上找找客服电话咨询一下。
              12306要你的订单才可以退，没有的话，人家也不知道退到你的哪张卡上，不死心的话可以电话问一下12306客服
              纸质票要去火车站窗口退，但退票时间有延期，具体上12306官网上查
              只能去火车站窗口办理，放心，会给你退的
              网上12306买的，网上就可以退。过期或者改签过，就只能到售票柜台
              新闻发布会上已经说过，可在疫情好转后在窗口退。
              纸质票，取了票，都要去现场
              不是网购票网上不能退。
              电话先咨询
              12306詢問。                                        
              要去购票窗口退票
              现金购买的话需要现场退款
              估计要去现场退票了
