在穷游上订的2月7号晚上新西兰皇后镇酒店因疫情无法出行可免费取消不？
              目前大部分平台都可以免费取消，可以直接网上联系，估计客服电话太忙                                        
              可以免费取消。但是你需要能够找到穷游的酒店客服……
              ​先和酒店谈谈好，再通过中介取消订单。
              这个具体要问酒店呢，如果酒店好应该会退                                        
              这个我不太清楚，我们在年三十前回国的                                        
              这个我也不知道我们去年去的                                        
              现在应该是可以的                                        
              这个和客服商量
              问穷游
