疫情期间，贵阳大兴国寺什么时候开放
              贵阳大兴国寺不通路，不通电，不通信。问也白问。​
              不同的变化情况。估计不会开放。
              疫情期间，全国寺庙都不开放
              短期内不会开放了
              目前还没有开放
              直接问官方。
              过了疫情贵阳大兴国寺才会开放
              寺庙可能没有开放
              不开，疫情过后再说
              直接问寺庙
