我买的是都柏林经布鲁塞尔到北京的机票，请问是否需要申更签？
              一切以机票性质决定，联程机票，你在都柏林值机时拿到全程登机牌，行李直挂国内，在布鲁塞尔无需入境申根签证地区，走国际转机通道即可，无需申根签证非联程机票，如果没有申根签证，那么你在都柏林值机时拿不到飞布鲁塞尔的登机牌，那就是张废票。
              是联程票就可以飞，无需申根签证。不是联程票，这个方案不可以，疫情当前无法申请申根签证。                                        
              聯程機票沒問題。非聯程機票不行，現在沒辦法申請申根簽證。                                        
              联程机票就可以，无需申根签证。不是联程机票的话不可以，当前无法申请申根签证。
              建議詢問航司客服人員最實際。
              联程不用
              机票是否联程的是关键。是的就不要。                                        
              联程不需要，看你票号
              是联程票不？？？不是的话就要，联程是不需要的
              ​联程机票不用中转地签证。
              聯程不要，飛聯程飛不了                                        
              看是否是联程                                        
              必须联程                                        
