电子商务签证没到期 但是单词停留超过180天 可以去机场交罚款就回国吗
"              因疫情受困印度，可以申請簽證延期：Whether they can extend their Indianvisas before expiry? Yes, they should approach theirjurisdictional FRRO/FROs through e-FRRO(https://indianfrro.gov.in/frro/)"
              先到移民局詢問怎麼辦。
              花不花钱的，还是赶紧回来。当下双方这形势，别赶上吃瓜烙。
              ​先去移民局，办理签证延期，再回国。以免后患。
              先联系移民局，然后多刷机票，别管贵不贵，能付得起就回
              只要你有机票，不会拦着你回国。
              基本上是。疫情状况下，可能罚款都不用。
              反正不会不让你离境回国，放心。有机票就能够飞回来。
              咨询当地移民局                                        
              赶紧回国，现在中印关系不好
