阿尔及利亚和中国的飞机什么时候通航？
              疫情之前，阿尔及利亚和中国也没有直飞航班的，如今疫情，更没有了，无论如何都要转机的，你在阿尔及利亚干什么？滞留在那里吗？since when?说出来。
              现在的形势下，政府也无法预测噢。原来也没有直飞航班吧
              无能为力
              几乎不可能。阿尔及利亚，不是地区航空中心。
              到非洲的都是要中转，又不是热门地方，你是航司你也不干，亏死。
              我們說了不算數。
              總有這一天的。                                        
              听凭圣裁
              从来就没有直航过，难道你是从国内直飞去阿尔及尔的？                                        
              总有一天会通航的！无法预知！
              两个国家之间的行为，我等民众又怎么可能知道。
              静候佳音，平常人无法预测
              最起码要等疫情平稳之后才有可能
              本来就没有直航，谈什么通航问题？
              无法预测
              年内无法通航，之前也一直没有通航过。                                        
              目前谁都不知道                                        
              問民航總局                                        
              这个只能等官方消息
              只有等进一步开放咯
