北京的恭王府景区，还没有恢复开放。帮到您，请点绿色“采纳”。
恭王府疫情缘故目前还没有开放。
没有开放。
经确认，恭王府目前暂未恢复开放，出行前与景区确认营业状态……帮到您，请点绿色采纳！
恭王府暂时还没有恢复开放。
