有少数室内项目未开放。
泉城欧乐堡梦幻世界，大部分项目已经恢复开放，极少量的室内项目还没有恢复。帮到您，请点绿色“采纳”。
园区项目未全部开放，乐园有序开放部分游乐设备与现场表演，具体开放项目以景区现场公布为准。
露天项目已恢复开放，室内及演艺暂不开放……帮到您，请点绿色采纳！
