你好，对的，现在买的票都是隔坐卖票。如果能帮到你，请点击绿色的‘采纳’，谢谢。
疫情期间，高铁是间隔坐，只卖三人座靠窗、三人座靠边道、双人座靠窗这几个位置，剩余的座位空着不卖。就是说每个三人座最多坐两个人（中间空着一个人的位置），双人座只坐一个人。
对。国家规定，疫情期间火车上座率不超过50[%]，车上乘客必须间隔座位。即隔一个人坐一个。
是的，间隔乘坐，仅售50%车票……帮到您，请点绿色采纳！
是的，现在买的票都是隔坐卖的如果有问题可以追问，如果有帮助可以点一下采纳，一切健康平安
是的，现在高铁动车都是间隔坐的。如帮到你，请点绿色采纳，谢谢。
是的
是的。疫情期间，高铁购票和乘坐，都是间隔而坐。帮到您，请点绿色“采纳”。
