行
可以的，航班取消全额退款……帮到您，请点绿色采纳！
一般来说，因航班停飞而造成的非自愿退票应当全额退还费用。
航班取消，是航空公司负全责。可以要求全额退票或者改签。电话联系航空公司办理即可。
在航班取消的情况下，航空公司是责任方，可以全额退票、不收取任何费用的。帮到您，请点绿色“采纳”。
