会检测体温，大堂和房间都有消毒，电梯间里配备了纸巾用来按电梯按钮
每天都消毒很多次还是非常不错的给点赞
您好，酒店每天每两小时消毒一次，对于入住的客人都会酒精或者滴露消毒并且测量体温
对住客有检查，一天一次消毒
