没开
寺庙暂未开放。
没有开放，还要等通知。
没有，兴教寺暂未恢复开放。宗教寺院类景区暂时不会开放，避免人员聚集也是保护宗教人士健康，五一以后留意景区公告……帮到您，请点绿色采纳！
寺庙还未开放。
