机票便宜也要看航线 去程便宜返程有可能并不便宜 另外也要维持正常的秩序
物以稀为贵，现在乘机人少，机票折扣大很正常。机票售出，如果航班取消，是会全额退票的。
飞不飞要看疫情的进展及航空公司的安排。如果不飞会给办理全款退票手续，乘客不会有经济损失。
兄弟，你真是开了个很大的脑洞现在的便宜有几个原因第一，真的坐的人少，所以便宜第二，只是单程的便宜，你看北上广深到其他地方的便宜，但是来的就贵了，因为这些都是人力输入的大地方第三，航空公司为了其他的航线，这个航线便宜也没有什么，因为必须飞过最好，就算买了后来取消了，也是会免费退给你的，航空公司不挣钱，你也不损失如果有问题可以追问，如果有帮助可以点一下采纳，一切健康平安
想多了，之前因疫情取消航班是为了减少人员流动，铁路也是同样的道理，目前各航司都在积极恢复运营线路，近期很少会取消航班了，一切都在逐步恢复正常……帮到您，请点绿色采纳！
当然是疫情过了才飞。现在虽然打折机票多，但经常会取消航班的。     【如果觉得回答有用，请帮忙点击“采纳”，谢谢！】
是的，最近疫情影响打折机票好多，有出行需要可以提前购买。希望可以帮到你
