没有，表演人群太密集……帮到您，请点绿色采纳！
没有
马戏这些聚焦性的都没有开放的如果有问题可以追问，如果有用请点“采纳”，一切平安
上海野生动物园，已经恢复开放，可以前往游玩。马戏剧场还没有恢复开放，马戏表演暂停。帮到您，请点绿色“采纳”。
