不需要，政务服务平台防疫健康码互认……帮到您，请点绿色采纳！
健康证明不需要，有绿码就行。如帮到你，请点绿色采纳，谢谢。
需要
如果是从风险高的地方出来的，那一般都需要健康证明，但是目的地各地掌握不一样
