今天不开的吧，可以查一下
所有宗教场所都关闭了。
广州这边很大的景点都关了，而且取消了一切的团体活动，目前来看，这个是不会开的，还是在家吧如果有问题可以点追问，如果有用请点采纳为最佳答案，新年快乐
应该不会开放了。即使开放，也不建议前往游玩。这次的新型肺炎，需要高度防范！帮到您，请点绿色“采纳”。
