临时身份证也同样是有效证件的，可以用临时身份证进入的。
你好，派出所开具的临时身份证与普通身份证有同等法律效力，可以用于购票、入园等，你在迪士尼入园时，扫描临时身份证就可以。如果能帮到你，请点击绿色的‘采纳’，谢谢。
可以的，临时身份证也是有效证件，而且同个订单你男朋友证件号购票没有问题……帮到您，请点绿色【采纳】！
估计不可以 最好到正式的再去
