28号之后买的退票可以免费吗？现在学校开学日期改了好几次了！心都累了
"我1月27号买的厦门到丽江的机票，买的1190,后面才退了我4百多，而且这四百多元到今天2月6号了还没到帐"
要看退什么票了。机票、火车票应该是免费退。
24日以后国内的订单是可以申请的，之前的就是按规定收钱
