必须不能出游！老实在家呆着吧！目前丽江已经封城
求求你好好待在家，没有必要活动千万别出去！！保护自己也保护他人！这时候是命重要还是玩重要啊？？！
不能来了不能来了不能来了
疫情严重。不建议出游。各城市主要景点全部关闭，不接待游客。
最好戴在家里，虽说很多地方疫情不严重。
很多景区都关闭了，建议不要出游了。
建议不要前往人群聚集处了
春节期间，不建议出游。这次的新型肺炎，需要高度防范！帮到您，请点绿色“采纳”。
建议取消行程（免费退单），疫情形势严峻，全国大多景区已闭园，待疫情过去再安心出游……帮到您，请点绿色采纳！
