不可以，只能网上预定门票了
疫情期间，去北京天坛公园，必须预约的，在现场直接购票是不行的。
不可以。北京的景点，现在必须预约购票。没有预约，现场买不了票。
不可以，景区窗口不售票，公众号“天坛”分时段预约购票……帮到您，请点绿色采纳！
