汽车取消的话，手续费你要问携程工作人员退还de如帮到你，请点绿色采纳，谢谢。
你好，长途汽车都是各家公司自己运营的，退票手续费都不同，建议还是电话咨询吧。如果能帮到你，请点击绿色的‘采纳’，谢谢。
可以返还的，原路返回。
