珠光御景温泉酒店已恢复营业，目前只能泡私汤……帮到您，请点绿色采纳！
本温泉已开放，出行在外个人卫生及防疫措施还是要重视
没开放
目前，温泉还没有恢复开放。帮到您，请点绿色“采纳”。
