不能进，没开放。
现以开放，人流不多但还是要自己注意防护。
☞可以进的!☞今天我刚进去，在那边打卡，就是夏天有点热，由于我赶飞机，没有办法等到下午日落而息的景色，个人建议日出和日落，风景相当美，好多人在那个时间去打卡!☞最后在疫情期间建议做好防护措施，安全第一哦⊙∀⊙！
