疫情期间，大学都没有开学；疫情期间，为了防控需要也不会对外开放。望“采纳”。
疫情期间厦门大学不开放哦。如帮到你，请点绿色采纳，谢谢。
不能。现在各大学都不能进入参观。
不能，疫情防控期间校园不会对外开放……帮到您，请点绿色采纳！
