全日制在校学生需要现场查看证件，购票。
身高1.5米（不含）以上，年龄低于18周岁（不含） 或（全日制在校中小学生、职高、中专）请至景区现场购买青少年票
你好，是的，需要现场核对证件然后购票。如果能帮到你，请点击绿色的“采纳”，谢谢。
当然的了，现场要看你的证件的，还是先把考试 考好了再来玩吧
需要在现场买票。★ 身高超过1.5米，年龄低于18周岁的个人 或全日制在校学生（小学、初中、高中、职高、中专、大专生、本科生）凭本人身份证原件和学生证至景区检票口刷闸机入园，入园需核验本人学生证。仅凭二维码不可入园。青少年/学生票票价：190元     【如果觉得回答有用，请帮忙点击“采纳”，谢谢！】
这个估计还是看身份证和学生证
18周岁及以下未成年人凭身份证至景区购买青少年学生票，中高考生优惠政策今年还未公布，去年中高考生毕业季特惠票99元（6～8月）……帮到您，请点绿色【采纳】！
全日制在校中小学生请至景区现场购买青少年票。【如果觉得回答有用，请帮忙点击“采纳”，谢谢！】
