已经开门营业了 20206月1日去过
开门了
鸠兹古镇现在已经开放了。
已经开门了，不过现在对于游览的人员数额有限制，还要有健康嘛，测体温等方面的保障措施。
鸠兹古镇已恢复开放，门市成人票80元，目前特惠70元买一送一……帮到您，请点绿色采纳！
