以往是7个工作日，现在相同情况比较多，时间会长一些。帮到您，请点绿色“采纳”。
目前还没有针对24日前退票的补偿政策的公告，我也有提前付费退订的机票，密切留意相关公告，估计可能性不大，无论如何，平安喜乐就好。希望帮到你，有用请点“采纳”
之前退订够呛，机票、火车票、客车票、船票：24日0时起此前已购票的旅客免费退票，建议联系客服沟通下……帮到您，请点绿色采纳！
在免费退票的政策出台之前申请退票的，手续费不退的，我也有损失，就这样了。现在各家客服都很繁忙，也是辛苦。损失较大的话过几天再问问航空公司，关注航空公司的网站。
目前可能是不退的，建议电话咨询下客服吧。
疫情面前，南航铁公鸡风格还是没有变。
