室内项目及演出活动结合疫情防控需要暂不开放，具体以现场为准
室内的都没有开，哪些开了你可关注 一下景点的公众号
卡乐星球：室内项目及演出活动结合疫情防控需要暂不开放，具体以现场为准……帮到您，请点绿色采纳！
