还没有，灵隐寺暂未恢复开放……帮到您，请点绿色采纳！
现在寺庙都还没开呢
灵隐寺现在还没开放呢。如帮到你，请点绿色采纳，谢谢。
目前没有，疫情期间还是要多在家待的，别给国家添乱。
飞来峰开放，寺庙全部不开放
