肯定可以。国家都有规定出来的
如果是飞机票，28日前买的国内的机票可以28日0点后免费退免费改，但改只是免改签费差价不是要补回来的，如果是国际的就要联系航空公司 了，每个公司 的不同如果有问题可以追问，如果有帮助可以点一下采纳，新年快乐健康
符合免费退订时限建议退票（需要时再购票），改签会收取手续费的……之前是24日0时起免费退订24日前所购国内机票、火车票、汽车票、船票，28日0时起免费退订28日前所购票，有问题可联系客服，需要耐心拨打95010……携程首页～我的～全部订单～机票订单～我要退票帮到您，请点绿色采纳！
按照中国民航局通知：在1月28日前已购买机票，且乘机日期在此时限之后的民航旅客，如在航班起飞前提出退票申请，应予以免费退票。如果不符合条件，特价机票估计不能改签。
